Iteracion,N,M,Tiempo_Insercion_ABB,Tiempo_Insercion_Splay,Tiempo_Busqueda_ABB,Tiempo_Busqueda_Splay,Costo_Promedio_ABB,Costo_Promedio_Splay
1,100000,10000000,44,8824,96,7644,3544,6085,4779,8369,0,00035446,0,00047798
2,200000,20000000,80,8798,198,1800,6178,4398,12478,6386,0,00030892,0,00062393
3,300000,30000000,109,4927,211,1748,10056,7427,16765,4726,0,00033522,0,00055885
4,400000,40000000,180,5053,360,7093,16194,2170,28888,9289,0,00040486,0,00072222
5,500000,50000000,295,5023,505,1961,21685,8951,38789,8697,0,00043372,0,00077580
6,600000,60000000,289,3851,699,5045,27465,4281,51732,3735,0,00045776,0,00086221
7,700000,70000000,542,9818,764,3033,34499,1644,65813,0549,0,00049285,0,00094019
8,800000,80000000,802,3855,915,1459,38539,8043,73338,4663,0,00048175,0,00091673
9,900000,90000000,560,5800,1007,7711,47675,5175,86271,2003,0,00052973,0,00095857
10,1000000,100000000,727,7262,1267,4423,96457,3070,109193,3153,0,00096457,0,00109193
